utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
can i ask the director for a letter of human resources showing the salary of the workers?,director,salary,worker,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
"i need a human resources letter to aply for my general job, which has a monthly salary of 1000",Human Resources,1000,General,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
send me your hr letter. to send it to my superior sr donald trump. for the mechanical engineer job with 240 dollar the day of paypment,sr donald trump,240 dollar the day,mechanical engineer,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
"Hi, I am requesting and HR letter, that includes my salary and my job title for Samsung.",Samsung,salary,job title,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
"Hi Ms. Mendez, i am Daniel Bermudez, Petroleum Engineer, I want to know about the increase of my salary, according the new company adjust, now it is 1.000.000",Ms. Mendez,1.000.000,Petroleum Engineer,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
Kindly support to provide me an HR letter to be provided to National bank including net salary and working start date.,National Bank,net salary,working start date,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
Please give a letter for Mr. Lopez and mention on it his residence and salary,Mr. Lopez,Residence,Salary,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
inder accountant requesting a lettet to hr about salary,inder,salary,accountant,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
I want to change ty vacation from jan 3rd to feb 23 tobe between january 6th and february 10th.,jan 3rd,23-Feb,january 7th,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
Please submit a letter to Shawn from HR about the manager's vacations,Shawn,vacations,Manager,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
I want to send an employment letter to Tom that includes salary and job title,Tom,salary,job title,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
